"fips","agegr","year","state","pop","age","popm","popf","state2"
26,"18",1970,"MI",172599,,,,"MI"
26,"62-64M",1970,"MI",92235,,,,"MI"
26,"24",1970,"MI",115524,,,,"MI"
26,"0-2",1970,"MI",476855,,,,"MI"
26,"20",1970,"MI",147439,,,,"MI"
26,"45-54",1970,"MI",1008299,,,,"MI"
26,"16",1970,"MI",181263,,,,"MI"
26,"23",1970,"MI",149047,,,,"MI"
26,"65+",1970,"MI",749633,,,,"MI"
26,"22",1970,"MI",149469,,,,"MI"
26,"3-4",1970,"MI",328556,,,,"MI"
26,"17",1970,"MI",175299,,,,"MI"
26,"35-44",1970,"MI",1003557,,,,"MI"
26,"19",1970,"MI",156550,,,,"MI"
26,"5-13",1970,"MI",1712867,,,,"MI"
26,"55-59",1970,"MI",411760,,,,"MI"
26,"21",1970,"MI",142046,,,,"MI"
26,"14",1970,"MI",192675,,,,"MI"
26,"15",1970,"MI",187964,,,,"MI"
26,"30-34",1970,"MI",489368,,,,"MI"
26,"60-61",1970,"MI",144827,,,,"MI"
26,"62-64F",1970,"MI",99651,,,,"MI"
27,"0-2",1970,"MN",195839,,,,"MN"
27,"19",1970,"MN",66495,,,,"MN"
27,"55-59",1970,"MN",177150,,,,"MN"
27,"15",1970,"MN",79502,,,,"MN"
27,"62-64M",1970,"MN",42576,,,,"MN"
27,"18",1970,"MN",74941,,,,"MN"
27,"22",1970,"MN",61436,,,,"MN"
27,"16",1970,"MN",77184,,,,"MN"
27,"25-29",1970,"MN",249670,,,,"MN"
27,"60-61",1970,"MN",66195,,,,"MN"
27,"20",1970,"MN",62391,,,,"MN"
27,"17",1970,"MN",75610,,,,"MN"
27,"24",1970,"MN",48102,,,,"MN"
27,"14",1970,"MN",80257,,,,"MN"
27,"62-64F",1970,"MN",46810,,,,"MN"
27,"45-54",1970,"MN",397220,,,,"MN"
27,"5-13",1970,"MN",738067,,,,"MN"
27,"65+",1970,"MN",407537,,,,"MN"
27,"30-34",1970,"MN",206906,,,,"MN"
27,"21",1970,"MN",58917,,,,"MN"
27,"3-4",1970,"MN",136114,,,,"MN"
27,"23",1970,"MN",61348,,,,"MN"
27,"35-44",1970,"MN",395836,,,,"MN"
29,"62-64M",1970,"MO",59894,,,,"MO"
29,"35-44",1970,"MO",510148,,,,"MO"
29,"23",1970,"MO",74204,,,,"MO"
29,"16",1970,"MO",87390,,,,"MO"
29,"20",1970,"MO",76334,,,,"MO"
29,"17",1970,"MO",84687,,,,"MO"
29,"15",1970,"MO",90671,,,,"MO"
29,"19",1970,"MO",81474,,,,"MO"
29,"22",1970,"MO",75095,,,,"MO"
29,"18",1970,"MO",85871,,,,"MO"
29,"3-4",1970,"MO",152338,,,,"MO"
